#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-10-20T23:47:44 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-10-20T23:47:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/152/50/table3&-order=I&LEDA=LEDA&-out=Dist&-out=e_DM&-out=HV&2M=2M&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_50_table3:
#Name: J/AJ/152/50/table3
#Title: Individual galaxy properties
#Column	Dist	(F6.2)	[0.05/517.7] Luminosity distance measurement for the individual galaxy (d) (1)	[ucd=pos.distance;pos.heliocentric]
#Column	e_DM	(F5.2)	[0.1/0.6] One standard deviation uncertainty in DM ({epsilon}_{mu}_) (2)	[ucd=stat.error]
#Column	HV	(I5)	[-376/34770] Heliocentric Velocity (V_h_)	[ucd=spect.dopplerVeloc;pos.heliocentric]
Dist	e_DM	HV
Mpc	mag	km/s
------	-----	-----
 50.58	 0.40	 4458
150.66	 0.50	11311
116.95	 0.50	 7277
240.99	 0.50	15015
 73.79	 0.40	 4779
211.84	 0.50	15596
182.81	 0.50	14996
117.49	 0.40	 6800
 97.72	 0.40	 6920
114.82	 0.50	 9426
 67.61	 0.54	 4104
134.28	 0.50	14676
188.80	 0.50	14399
168.27	 0.50	11400
 81.66	 0.40	 6350
  0.96	 0.10	 -108
134.28	 0.40	 9723
 86.30	 0.40	 7620
103.28	 0.40	 6465
 71.12	 0.40	 5537
 12.13	 0.54	 1958
151.36	 0.50	11842
115.88	 0.40	 7894
211.84	 0.50	14637
127.06	 0.40	 8629
105.20	 0.40	 7267
206.06	 0.40	11229
 14.45	 0.21	 1051
165.96	 0.50	10349
 92.47	 0.40	11946
 92.04	 0.16	 7265
 19.41	 0.30	  878
109.14	 0.40	 6412
136.14	 0.50	 9040
118.58	 0.40	11900
 29.38	 0.30	 2311
108.64	 0.40	10499
154.88	 0.20	11344
155.60	 0.40	11133
167.49	 0.40	11875
103.75	 0.50	 7269
106.66	 0.40	 7977
 48.08	 0.40	 4452
 78.70	 0.40	 5091
 42.07	 0.40	 4974
 44.46	 0.40	 3121
 99.08	 0.50	 7988
133.66	 0.50	10904
121.34	 0.50	 9049
105.68	 0.40	 6154
 96.38	 0.50	10727
 94.62	 0.40	 6301
100.46	 0.40	 7426
182.81	 0.50	10622
162.93	 0.40	10379
143.88	 0.40	10688
  8.71	 0.20	  737
142.56	 0.40	 9523
207.97	 0.50	11058
102.33	 0.16	 7532
 79.07	 0.50	 5750
 86.30	 0.40	 6615
117.49	 0.50	10195
152.05	 0.50	10271
131.83	 0.50	10754
141.25	 0.50	11026
 69.50	 0.50	 6204
103.75	 0.40	 7559
 95.94	 0.40	 5370
158.49	 0.50	10266
 71.45	 0.17	 5257
108.14	 0.40	 7896
 77.62	 0.40	 5307
120.78	 0.31	 9701
 73.11	 0.54	 4247
 83.56	 0.40	 5451
 65.46	 0.40	 5410
 74.13	 0.40	 4556
 88.31	 0.40	 7547
 75.16	 0.40	 5087
 80.91	 0.40	 4895
 75.51	 0.40	 8777
 44.06	 0.40	 4641
  3.21	 0.20	  227
 19.14	 0.30	 1497
106.17	 0.40	 6800
150.66	 0.50	 9109
111.69	 0.40	10029
 65.46	 0.40	 4580
  5.73	 0.40	  865
 59.43	 0.40	 4828
 67.61	 0.40	 4345
105.68	 0.40	 6827
112.20	 0.40	 8322
 34.83	 0.40	 1834
 53.21	 0.30	 4568
  7.87	 0.17	  554
 70.47	 0.50	 6355
 86.70	 0.40	 6006
145.21	 0.40	 7059
 68.55	 0.40	 4592
100.46	 0.40	 7851
129.42	 0.50	10505
 63.39	 0.40	 4797
 77.62	 0.30	 4770
156.31	 0.40	10256
 92.47	 0.31	 7854
 84.72	 0.40	 8046
 69.82	 0.40	 6039
151.36	 0.50	 9803
141.25	 0.40	 8043
 54.95	 0.40	 4512
171.40	 0.40	10748
 65.16	 0.40	 6352
113.24	 0.40	 7400
 64.86	 0.50	 5471
111.17	 0.50	10427
130.62	 0.40	 7647
215.77	 0.50	15231
 87.90	 0.40	 5954
169.04	 0.50	11959
106.66	 0.50	 9967
185.35	 0.50	15245
 63.68	 0.50	 8381
124.74	 0.40	 7135
128.82	 0.50	11178
 20.32	 0.54	 1679
  6.64	 0.20	  466
 73.79	 0.40	 5838
111.69	 0.50	 8613
 49.43	 0.15	 3971
 89.95	 0.40	 5401
 72.44	 0.50	 4562
 57.02	 0.50	 5495
  1.99	 0.12	  129
108.14	 0.50	 9804
  4.90	 0.20	  362
  1.96	 0.16	   36
 77.62	 0.50	 7396
 46.34	 0.40	 4212
 83.56	 0.40	 5474
 66.07	 0.40	 4877
 58.61	 0.40	 3994
 85.51	 0.50	 6665
 75.86	 0.40	 5056
 65.46	 0.50	 6456
 71.12	 0.50	 6077
 43.65	 0.40	 3203
 96.83	 0.50	 6822
113.24	 0.50	10963
 93.76	 0.40	 5680
108.14	 0.40	 7306
 58.61	 0.40	 4844
 84.33	 0.40	 6055
 18.62	 0.24	 1158
 87.50	 0.50	 7006
 77.98	 0.40	 5800
 87.50	 0.50	 7412
 60.53	 0.40	 5224
 88.72	 0.50	 7756
 89.13	 0.50	 6758
 84.33	 0.50	 6181
 58.61	 0.40	 4473
 87.90	 0.40	 7606
116.41	 0.40	 9852
 89.13	 0.50	 6510
 44.46	 0.16	 3709
